id,totalcost,airport,totalduration,flightid,flightcost,drivingcost,parkingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration
119,399,BWI,850,2ciqOzND4aTUuEtKvqnX8202l,362.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,825,120,72
120,401,BWI,880,2ciqOzND4aTUuEtKvqnX8204C,364.66,1,36,2016-01-25T02:45,2016-01-25T06:00-05:00,1057,120,72
121,404,BWI,818,2ciqOzND4aTUuEtKvqnX8203d,367.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,793,120,72
122,405,BWI,818,2ciqOzND4aTUuEtKvqnX8202i,368.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,801,120,72
123,406,BWI,842,2ciqOzND4aTUuEtKvqnX8203j,369.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,822,120,67
124,406,BWI,862,2ciqOzND4aTUuEtKvqnX8203p,369.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,842,120,67
125,406,BWI,804,2ciqOzND4aTUuEtKvqnX8203c,369.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,784,120,67
126,407,BWI,772,2ciqOzND4aTUuEtKvqnX8202V,370.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,752,120,67
127,412,BWI,831,2ciqOzND4aTUuEtKvqnX8203o,375.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,820,120,67
128,414,BWI,689,2ciqOzND4aTUuEtKvqnX8202J,377.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,664,120,72
129,418,BWI,798,2ciqOzND4aTUuEtKvqnX8203h,381.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,787,120,67
130,420,BWI,705,2ciqOzND4aTUuEtKvqnX8203R,383.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,693,120,72
131,422,BWI,873,2ciqOzND4aTUuEtKvqnX82031,385.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,861,120,72
132,422,BWI,831,2ciqOzND4aTUuEtKvqnX8202v,385.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,819,120,72
133,423,BWI,663,2ciqOzND4aTUuEtKvqnX8203G,386.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,643,120,67
134,425,BWI,665,2ciqOzND4aTUuEtKvqnX8202N,388.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,653,120,72
135,425,BWI,770,2ciqOzND4aTUuEtKvqnX8202h,388.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,745,120,72
136,434,BWI,719,2ciqOzND4aTUuEtKvqnX8202Y,397.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,703,120,72
137,434,BWI,640,2ciqOzND4aTUuEtKvqnX8203M,397.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,628,120,72
138,434,BWI,848,2ciqOzND4aTUuEtKvqnX8203t,397.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,832,120,72
139,434,BWI,868,2ciqOzND4aTUuEtKvqnX8203z,397.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,857,120,67
140,434,BWI,719,2ciqOzND4aTUuEtKvqnX8202X,397.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,703,120,72
141,434,BWI,848,2ciqOzND4aTUuEtKvqnX8203u,397.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,832,120,72
142,434,BWI,868,2ciqOzND4aTUuEtKvqnX8203y,397.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,857,120,67
143,437,BWI,788,2ciqOzND4aTUuEtKvqnX8202q,400.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,776,120,72
144,441,BWI,968,2ciqOzND4aTUuEtKvqnX8203V,404.61,1,36,2016-01-25T06:00,2016-01-25T09:20-05:00,948,120,72
145,449,BWI,750,2ciqOzND4aTUuEtKvqnX8202P,413.10,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,738,120,72
146,455,BWI,941,2ciqOzND4aTUuEtKvqnX8203X,418.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,924,120,72
147,455,BWI,941,2ciqOzND4aTUuEtKvqnX8203W,418.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,924,120,72
148,458,BWI,855,2ciqOzND4aTUuEtKvqnX8203F,421.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,844,120,67
149,460,BWI,958,2ciqOzND4aTUuEtKvqnX8203a,423.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,933,120,72
150,460,BWI,1026,2ciqOzND4aTUuEtKvqnX8203q,423.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,1001,120,72
151,460,BWI,907,2ciqOzND4aTUuEtKvqnX8203O,423.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,882,120,72
152,460,BWI,996,2ciqOzND4aTUuEtKvqnX8203f,423.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,971,120,72
153,460,BWI,958,2ciqOzND4aTUuEtKvqnX8203b,423.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,933,120,72
