id,timeoftravel,airport,distance,duration
235,19:30,BWI,31,68
238,19:45,BWI,31,66
241,20:00,BWI,31,68
244,20:15,BWI,31,66
247,20:30,BWI,31,66
250,20:45,BWI,31,66
253,21:00,BWI,31,68
256,21:15,BWI,31,68
259,21:30,BWI,31,66
262,21:45,BWI,31,66
265,22:00,BWI,31,66
268,22:15,BWI,31,68
271,22:30,BWI,31,68
274,22:45,BWI,31,66
277,23:00,BWI,31,68
280,23:15,BWI,31,68
283,23:30,BWI,31,66
286,23:45,BWI,31,66
