id,totalcost,totalduration,airport,flightid,flightcost,parkingcost,drivingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration,airline,selected
311,461.31,955,BWI,2ciqOzND4aTUuEtKvqnX8202y,423.6,35.6,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,763,120,72,UA,0
736,463.71,865,IAD,0FYkDuZ1Gh6TlvJMkNtn19075,421.6,40,2.11,2016-01-25T05:15,2016-01-25T08:20-05:00,693,120,52,UA,0
1058,467.01,770,DCA,RSETozIzLjLQdvO1tO9iRU055,398.6,68,0.41,2016-01-25T12:00,2016-01-25T13:37-05:00,673,75,22,UA,0
779,468.71,707,IAD,0FYkDuZ1Gh6TlvJMkNtn1902W,426.6,40,2.11,2016-01-25T09:30,2016-01-25T12:32-05:00,530,120,57,UA,0
780,469.71,756,IAD,0FYkDuZ1Gh6TlvJMkNtn1904i,427.6,40,2.11,2016-01-25T13:15,2016-01-25T16:10-05:00,583,120,53,UA,0
602,470.71,812,IAD,0FYkDuZ1Gh6TlvJMkNtn19053,428.6,40,2.11,2016-01-25T05:30,2016-01-25T08:25-05:00,640,120,52,UA,0
165,471.31,922,BWI,2ciqOzND4aTUuEtKvqnX82042,433.6,35.6,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,735,120,67,UA,0
612,471.71,846,IAD,0FYkDuZ1Gh6TlvJMkNtn19076,429.6,40,2.11,2016-01-25T05:45,2016-01-25T08:39-05:00,674,120,52,UA,0
613,472.71,870,IAD,0FYkDuZ1Gh6TlvJMkNtn1907D,430.6,40,2.11,2016-01-25T09:30,2016-01-25T12:30-05:00,693,120,57,UA,0
614,473.71,884,IAD,0FYkDuZ1Gh6TlvJMkNtn1905T,431.6,40,2.11,2016-01-25T05:15,2016-01-25T08:20-05:00,712,120,52,UA,0
1314,476.01,691,DCA,RSETozIzLjLQdvO1tO9iRU04Q,407.6,68,0.41,2016-01-25T14:15,2016-01-25T15:59-05:00,594,75,22,UA,0
