id,totalcost,totalduration,airport,flightid,flightcost,parkingcost,drivingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration,airline,costperhour
52,286.31,966,BWI,2ciqOzND4aTUuEtKvqnX8201Z,248.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,774,120,72,UA,17.8943750000000000
53,286.31,1117,BWI,2ciqOzND4aTUuEtKvqnX8202C,248.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,925,120,72,UA,15.9061111111111111
54,286.31,785,BWI,2ciqOzND4aTUuEtKvqnX8200p,248.60,35.60,2.11,2016-01-25T12:45,2016-01-25T15:55-05:00,598,120,67,UA,22.0238461538461538
55,286.31,851,BWI,2ciqOzND4aTUuEtKvqnX82011,248.60,35.60,2.11,2016-01-25T12:45,2016-01-25T15:55-05:00,664,120,67,UA,20.4507142857142857
56,287.31,1051,BWI,2ciqOzND4aTUuEtKvqnX82020,249.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,859,120,72,UA,16.9005882352941176
57,287.31,976,BWI,2ciqOzND4aTUuEtKvqnX8201j,249.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,784,120,72,UA,17.9568750000000000
58,287.31,976,BWI,2ciqOzND4aTUuEtKvqnX8201k,249.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,784,120,72,UA,17.9568750000000000
59,287.32,947,BWI,2ciqOzND4aTUuEtKvqnX8200K,249.61,35.60,2.11,2016-01-25T13:00,2016-01-25T16:10-05:00,758,120,69,B6,19.1546666666666667
60,287.32,947,BWI,2ciqOzND4aTUuEtKvqnX8200J,249.61,35.60,2.11,2016-01-25T13:00,2016-01-25T16:10-05:00,758,120,69,B6,19.1546666666666667
61,287.32,874,BWI,2ciqOzND4aTUuEtKvqnX8200I,249.61,35.60,2.11,2016-01-25T13:00,2016-01-25T16:10-05:00,685,120,69,B6,20.5228571428571429
62,291.31,870,BWI,2ciqOzND4aTUuEtKvqnX82013,253.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,678,120,72,UA,20.8078571428571429
63,292.31,1090,BWI,2ciqOzND4aTUuEtKvqnX8202A,254.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,898,120,72,UA,16.2394444444444444
64,293.31,824,BWI,2ciqOzND4aTUuEtKvqnX8201h,255.60,35.60,2.11,2016-01-25T12:45,2016-01-25T15:55-05:00,637,120,67,UA,22.5623076923076923
65,297.31,938,BWI,2ciqOzND4aTUuEtKvqnX8202d,259.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,751,120,67,UA,19.8206666666666667
66,297.31,938,BWI,2ciqOzND4aTUuEtKvqnX8202c,259.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,751,120,67,UA,19.8206666666666667
67,297.31,979,BWI,2ciqOzND4aTUuEtKvqnX8202n,259.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,792,120,67,UA,18.5818750000000000
68,299.31,768,BWI,2ciqOzND4aTUuEtKvqnX8200G,261.60,35.60,2.11,2016-01-25T04:45,2016-01-25T08:00-05:00,576,120,72,NK,24.9425000000000000
69,301.31,1184,BWI,2ciqOzND4aTUuEtKvqnX8202b,263.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,992,120,72,UA,15.8584210526315789
70,301.31,775,BWI,2ciqOzND4aTUuEtKvqnX8200Z,263.60,35.60,2.11,2016-01-25T13:45,2016-01-25T17:01-05:00,587,120,68,UA,25.1091666666666667
71,310.31,923,BWI,2ciqOzND4aTUuEtKvqnX8201l,272.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,736,120,67,UA,20.6873333333333333
72,321.31,1184,BWI,2ciqOzND4aTUuEtKvqnX8202o,283.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,992,120,72,UA,16.9110526315789474
73,323.31,966,BWI,2ciqOzND4aTUuEtKvqnX82021,285.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,774,120,72,UA,20.2068750000000000
74,324.31,920,BWI,2ciqOzND4aTUuEtKvqnX8201s,286.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,728,120,72,UA,21.6206666666666667
75,324.31,845,BWI,2ciqOzND4aTUuEtKvqnX8201P,286.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,653,120,72,UA,23.1650000000000000
76,326.31,950,BWI,2ciqOzND4aTUuEtKvqnX8201y,288.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,758,120,72,UA,21.7540000000000000
77,327.31,842,BWI,2ciqOzND4aTUuEtKvqnX8201U,289.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,655,120,67,UA,23.3792857142857143
78,327.31,1030,BWI,2ciqOzND4aTUuEtKvqnX8202F,289.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,838,120,72,UA,19.2535294117647059
79,327.31,974,BWI,2ciqOzND4aTUuEtKvqnX82023,289.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,782,120,72,UA,20.4568750000000000
80,329.31,1052,BWI,2ciqOzND4aTUuEtKvqnX8202H,291.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,860,120,72,UA,19.3711764705882353
81,337.31,1105,BWI,2ciqOzND4aTUuEtKvqnX8202T,299.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,913,120,72,UA,18.7394444444444444
82,341.31,1031,BWI,2ciqOzND4aTUuEtKvqnX8202K,303.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,844,120,67,UA,20.0770588235294118
83,343.31,680,BWI,2ciqOzND4aTUuEtKvqnX8200i,305.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,488,120,72,UA,31.2100000000000000
84,350.31,955,BWI,2ciqOzND4aTUuEtKvqnX8202B,312.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,763,120,72,UA,23.3540000000000000
85,351.30,1173,BWI,2ciqOzND4aTUuEtKvqnX8200R,313.59,35.60,2.11,2016-01-25T08:00,2016-01-25T11:10-05:00,985,120,68,B6,18.4894736842105263
86,351.30,1173,BWI,2ciqOzND4aTUuEtKvqnX8200Q,313.59,35.60,2.11,2016-01-25T08:00,2016-01-25T11:10-05:00,985,120,68,B6,18.4894736842105263
87,351.30,1246,BWI,2ciqOzND4aTUuEtKvqnX8200S,313.59,35.60,2.11,2016-01-25T08:00,2016-01-25T11:10-05:00,1058,120,68,B6,17.5650000000000000
88,351.31,995,BWI,2ciqOzND4aTUuEtKvqnX8202G,313.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,803,120,72,UA,21.9568750000000000
89,352.31,936,BWI,2ciqOzND4aTUuEtKvqnX82029,314.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,749,120,67,UA,23.4873333333333333
90,356.31,1160,BWI,2ciqOzND4aTUuEtKvqnX8202x,318.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,968,120,72,UA,18.7531578947368421
91,363.31,905,BWI,2ciqOzND4aTUuEtKvqnX8202z,325.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,713,120,72,UA,24.2206666666666667
92,364.31,985,BWI,2ciqOzND4aTUuEtKvqnX8203J,326.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,793,120,72,UA,22.7693750000000000
93,364.31,900,BWI,2ciqOzND4aTUuEtKvqnX82030,326.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,713,120,67,UA,24.2873333333333333
94,364.31,981,BWI,2ciqOzND4aTUuEtKvqnX8203K,326.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,794,120,67,UA,22.7693750000000000
95,364.31,1213,BWI,2ciqOzND4aTUuEtKvqnX8203x,326.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,1021,120,72,UA,18.2155000000000000
96,364.31,981,BWI,2ciqOzND4aTUuEtKvqnX8203L,326.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,794,120,67,UA,22.7693750000000000
97,368.31,1030,BWI,2ciqOzND4aTUuEtKvqnX8202S,330.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,838,120,72,UA,21.6652941176470588
98,368.31,974,BWI,2ciqOzND4aTUuEtKvqnX8202M,330.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,782,120,72,UA,23.0193750000000000
99,368.31,943,BWI,2ciqOzND4aTUuEtKvqnX8203C,330.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,756,120,67,UA,24.5540000000000000
100,368.31,862,BWI,2ciqOzND4aTUuEtKvqnX82022,330.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,670,120,72,UA,26.3078571428571429
101,369.31,969,BWI,2ciqOzND4aTUuEtKvqnX8203I,331.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,777,120,72,UA,23.0818750000000000
102,369.31,944,BWI,2ciqOzND4aTUuEtKvqnX8203B,331.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,752,120,72,UA,24.6206666666666667
103,369.31,969,BWI,2ciqOzND4aTUuEtKvqnX8203H,331.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,777,120,72,UA,23.0818750000000000
104,384.31,985,BWI,2ciqOzND4aTUuEtKvqnX8203U,346.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,793,120,72,UA,24.0193750000000000
105,384.31,1036,BWI,2ciqOzND4aTUuEtKvqnX8203e,346.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,844,120,72,UA,22.6064705882352941
106,388.31,1079,BWI,2ciqOzND4aTUuEtKvqnX8203s,350.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,887,120,72,UA,22.8417647058823529
107,394.31,1089,BWI,2ciqOzND4aTUuEtKvqnX8202w,356.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,897,120,72,UA,21.9061111111111111
108,395.31,970,BWI,2ciqOzND4aTUuEtKvqnX8202U,357.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,778,120,72,UA,24.7068750000000000
109,398.31,986,BWI,2ciqOzND4aTUuEtKvqnX8202f,360.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,799,120,67,UA,24.8943750000000000
110,398.31,1013,BWI,2ciqOzND4aTUuEtKvqnX8202j,360.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,821,120,72,UA,24.8943750000000000
111,398.31,986,BWI,2ciqOzND4aTUuEtKvqnX8202e,360.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,799,120,67,UA,24.8943750000000000
112,398.31,1013,BWI,2ciqOzND4aTUuEtKvqnX8202k,360.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,821,120,72,UA,24.8943750000000000
113,398.31,939,BWI,2ciqOzND4aTUuEtKvqnX8202Q,360.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,752,120,67,UA,26.5540000000000000
114,398.31,884,BWI,2ciqOzND4aTUuEtKvqnX8202I,360.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,697,120,67,UA,28.4507142857142857
115,398.31,1069,BWI,2ciqOzND4aTUuEtKvqnX8202s,360.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,877,120,72,UA,23.4300000000000000
116,399.31,846,BWI,2ciqOzND4aTUuEtKvqnX8202E,361.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,659,120,67,UA,28.5221428571428571
117,400.31,1017,BWI,2ciqOzND4aTUuEtKvqnX8202l,362.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,825,120,72,UA,25.0193750000000000
118,402.37,1249,BWI,2ciqOzND4aTUuEtKvqnX8204C,364.66,35.60,2.11,2016-01-25T02:45,2016-01-25T06:00-05:00,1057,120,72,AC,20.1185000000000000
119,405.31,985,BWI,2ciqOzND4aTUuEtKvqnX8203d,367.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,793,120,72,UA,25.3318750000000000
120,406.31,993,BWI,2ciqOzND4aTUuEtKvqnX8202i,368.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,801,120,72,UA,25.3943750000000000
121,407.31,1009,BWI,2ciqOzND4aTUuEtKvqnX8203j,369.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,822,120,67,UA,25.4568750000000000
122,407.31,1029,BWI,2ciqOzND4aTUuEtKvqnX8203p,369.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,842,120,67,UA,23.9594117647058824
123,407.31,971,BWI,2ciqOzND4aTUuEtKvqnX8203c,369.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,784,120,67,UA,25.4568750000000000
124,407.31,912,BWI,2ciqOzND4aTUuEtKvqnX8203Q,369.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,725,120,67,UA,27.1540000000000000
125,408.31,939,BWI,2ciqOzND4aTUuEtKvqnX8202V,370.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,752,120,67,UA,27.2206666666666667
126,413.31,1007,BWI,2ciqOzND4aTUuEtKvqnX8203o,375.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,820,120,67,UA,25.8318750000000000
127,415.31,856,BWI,2ciqOzND4aTUuEtKvqnX8202J,377.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,664,120,72,UA,29.6650000000000000
128,415.31,675,BWI,2ciqOzND4aTUuEtKvqnX8202D,377.60,35.60,2.11,2016-01-25T12:45,2016-01-25T15:55-05:00,488,120,67,UA,37.7554545454545455
129,419.31,974,BWI,2ciqOzND4aTUuEtKvqnX8203h,381.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,787,120,67,UA,26.2068750000000000
130,421.31,885,BWI,2ciqOzND4aTUuEtKvqnX8203R,383.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,693,120,72,UA,30.0935714285714286
131,423.31,1053,BWI,2ciqOzND4aTUuEtKvqnX82031,385.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,861,120,72,UA,24.9005882352941176
132,423.31,1011,BWI,2ciqOzND4aTUuEtKvqnX8202v,385.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,819,120,72,UA,26.4568750000000000
133,423.31,976,BWI,2ciqOzND4aTUuEtKvqnX8203k,385.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,784,120,72,UA,26.4568750000000000
134,423.31,938,BWI,2ciqOzND4aTUuEtKvqnX8202g,385.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,746,120,72,UA,28.2206666666666667
135,423.31,1053,BWI,2ciqOzND4aTUuEtKvqnX82032,385.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,861,120,72,UA,24.9005882352941176
136,424.31,830,BWI,2ciqOzND4aTUuEtKvqnX8203G,386.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,643,120,67,UA,32.6392307692307692
137,426.31,845,BWI,2ciqOzND4aTUuEtKvqnX8202N,388.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,653,120,72,UA,30.4507142857142857
138,426.31,937,BWI,2ciqOzND4aTUuEtKvqnX8202h,388.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,745,120,72,UA,28.4206666666666667
139,435.31,895,BWI,2ciqOzND4aTUuEtKvqnX8202Y,397.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,703,120,72,UA,31.0935714285714286
140,435.31,820,BWI,2ciqOzND4aTUuEtKvqnX8203M,397.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,628,120,72,UA,33.4853846153846154
141,435.31,1024,BWI,2ciqOzND4aTUuEtKvqnX8203t,397.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,832,120,72,UA,25.6064705882352941
142,435.31,1044,BWI,2ciqOzND4aTUuEtKvqnX8203z,397.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,857,120,67,UA,25.6064705882352941
143,435.31,895,BWI,2ciqOzND4aTUuEtKvqnX8202X,397.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,703,120,72,UA,31.0935714285714286
144,435.31,1024,BWI,2ciqOzND4aTUuEtKvqnX8203u,397.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,832,120,72,UA,25.6064705882352941
145,435.31,1044,BWI,2ciqOzND4aTUuEtKvqnX8203y,397.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,857,120,67,UA,25.6064705882352941
146,438.31,968,BWI,2ciqOzND4aTUuEtKvqnX8202q,400.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,776,120,72,UA,27.3943750000000000
147,442.32,1140,BWI,2ciqOzND4aTUuEtKvqnX8203V,404.61,35.60,2.11,2016-01-25T06:00,2016-01-25T09:20-05:00,948,120,72,B6,23.2800000000000000
148,450.81,930,BWI,2ciqOzND4aTUuEtKvqnX8202P,413.10,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,738,120,72,UA,30.0540000000000000
149,456.31,1116,BWI,2ciqOzND4aTUuEtKvqnX8203X,418.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,924,120,72,UA,25.3505555555555556
150,456.31,1116,BWI,2ciqOzND4aTUuEtKvqnX8203W,418.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,924,120,72,UA,25.3505555555555556
151,459.31,1031,BWI,2ciqOzND4aTUuEtKvqnX8203F,421.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,844,120,67,UA,27.0182352941176471
