id,totalcost,totalduration,airport,flightid,flightcost,parkingcost,drivingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration
21,266.31,1058,BWI,2ciqOzND4aTUuEtKvqnX8201r,228.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,866,120,72
22,267.31,937,BWI,2ciqOzND4aTUuEtKvqnX82014,229.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,745,120,72
23,267.31,945,BWI,2ciqOzND4aTUuEtKvqnX8201D,229.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,753,120,72
24,267.31,937,BWI,2ciqOzND4aTUuEtKvqnX82016,229.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,745,120,72
25,267.31,1012,BWI,2ciqOzND4aTUuEtKvqnX8201b,229.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,820,120,72
26,270.31,699,BWI,2ciqOzND4aTUuEtKvqnX8200f,232.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,507,120,72
27,270.31,667,BWI,2ciqOzND4aTUuEtKvqnX8200X,232.60,35.60,2.11,2016-01-25T13:45,2016-01-25T17:01-05:00,479,120,68
28,270.31,794,BWI,2ciqOzND4aTUuEtKvqnX8200m,232.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,607,120,67
29,272.31,1289,BWI,2ciqOzND4aTUuEtKvqnX8200N,234.60,35.60,2.11,2016-01-25T03:00,2016-01-25T06:20-05:00,1097,120,72
30,275.31,832,BWI,2ciqOzND4aTUuEtKvqnX8200u,237.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,645,120,67
31,277.31,822,BWI,2ciqOzND4aTUuEtKvqnX8200t,239.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,635,120,67
32,277.31,913,BWI,2ciqOzND4aTUuEtKvqnX82017,239.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,721,120,72
33,277.31,952,BWI,2ciqOzND4aTUuEtKvqnX8201O,239.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,760,120,72
34,277.31,954,BWI,2ciqOzND4aTUuEtKvqnX8201Q,239.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,767,120,67
35,277.31,1055,BWI,2ciqOzND4aTUuEtKvqnX8201v,239.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,863,120,72
36,277.31,913,BWI,2ciqOzND4aTUuEtKvqnX82018,239.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,721,120,72
37,282.31,965,BWI,2ciqOzND4aTUuEtKvqnX8201W,244.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,773,120,72
38,282.31,1110,BWI,2ciqOzND4aTUuEtKvqnX82034,244.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,918,120,72
39,282.31,927,BWI,2ciqOzND4aTUuEtKvqnX82026,244.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,735,120,72
40,282.31,1009,BWI,2ciqOzND4aTUuEtKvqnX8202m,244.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,822,120,67
41,282.31,1116,BWI,2ciqOzND4aTUuEtKvqnX82035,244.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,924,120,72
42,282.31,926,BWI,2ciqOzND4aTUuEtKvqnX8200q,244.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,734,120,72
43,282.31,1029,BWI,2ciqOzND4aTUuEtKvqnX8202p,244.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,842,120,67
44,282.31,1157,BWI,2ciqOzND4aTUuEtKvqnX8203D,244.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,965,120,72
45,282.31,971,BWI,2ciqOzND4aTUuEtKvqnX8202a,244.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,784,120,67
46,282.32,1109,BWI,2ciqOzND4aTUuEtKvqnX8200L,244.61,35.60,2.11,2016-01-25T06:00,2016-01-25T09:20-05:00,917,120,72
47,282.32,1109,BWI,2ciqOzND4aTUuEtKvqnX8200M,244.61,35.60,2.11,2016-01-25T06:00,2016-01-25T09:20-05:00,917,120,72
48,286.31,1210,BWI,2ciqOzND4aTUuEtKvqnX8203Z,248.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,1018,120,72
49,286.31,1042,BWI,2ciqOzND4aTUuEtKvqnX8201x,248.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,850,120,72
50,286.31,966,BWI,2ciqOzND4aTUuEtKvqnX8201Z,248.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,774,120,72
51,286.31,1117,BWI,2ciqOzND4aTUuEtKvqnX8202C,248.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,925,120,72
52,286.31,785,BWI,2ciqOzND4aTUuEtKvqnX8200p,248.60,35.60,2.11,2016-01-25T12:45,2016-01-25T15:55-05:00,598,120,67
53,286.31,851,BWI,2ciqOzND4aTUuEtKvqnX82011,248.60,35.60,2.11,2016-01-25T12:45,2016-01-25T15:55-05:00,664,120,67
54,287.31,1051,BWI,2ciqOzND4aTUuEtKvqnX82020,249.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,859,120,72
55,287.31,976,BWI,2ciqOzND4aTUuEtKvqnX8201j,249.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,784,120,72
56,287.31,976,BWI,2ciqOzND4aTUuEtKvqnX8201k,249.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,784,120,72
57,287.32,947,BWI,2ciqOzND4aTUuEtKvqnX8200K,249.61,35.60,2.11,2016-01-25T13:00,2016-01-25T16:10-05:00,758,120,69
58,287.32,947,BWI,2ciqOzND4aTUuEtKvqnX8200J,249.61,35.60,2.11,2016-01-25T13:00,2016-01-25T16:10-05:00,758,120,69
59,287.32,874,BWI,2ciqOzND4aTUuEtKvqnX8200I,249.61,35.60,2.11,2016-01-25T13:00,2016-01-25T16:10-05:00,685,120,69
60,291.31,870,BWI,2ciqOzND4aTUuEtKvqnX82013,253.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,678,120,72
61,292.31,1090,BWI,2ciqOzND4aTUuEtKvqnX8202A,254.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,898,120,72
62,293.31,824,BWI,2ciqOzND4aTUuEtKvqnX8201h,255.60,35.60,2.11,2016-01-25T12:45,2016-01-25T15:55-05:00,637,120,67
63,297.31,938,BWI,2ciqOzND4aTUuEtKvqnX8202d,259.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,751,120,67
64,297.31,938,BWI,2ciqOzND4aTUuEtKvqnX8202c,259.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,751,120,67
65,297.31,979,BWI,2ciqOzND4aTUuEtKvqnX8202n,259.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,792,120,67
66,298.31,974,BWI,2ciqOzND4aTUuEtKvqnX8201n,260.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,787,120,67
67,299.31,768,BWI,2ciqOzND4aTUuEtKvqnX8200G,261.60,35.60,2.11,2016-01-25T04:45,2016-01-25T08:00-05:00,576,120,72
68,299.31,778,BWI,2ciqOzND4aTUuEtKvqnX8200H,261.60,35.60,2.11,2016-01-25T07:15,2016-01-25T10:22-05:00,591,120,67
69,301.31,1184,BWI,2ciqOzND4aTUuEtKvqnX8202b,263.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,992,120,72
70,301.31,775,BWI,2ciqOzND4aTUuEtKvqnX8200Z,263.60,35.60,2.11,2016-01-25T13:45,2016-01-25T17:01-05:00,587,120,68
71,310.31,923,BWI,2ciqOzND4aTUuEtKvqnX8201l,272.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,736,120,67
72,321.31,1184,BWI,2ciqOzND4aTUuEtKvqnX8202o,283.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,992,120,72
73,323.31,966,BWI,2ciqOzND4aTUuEtKvqnX82021,285.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,774,120,72
74,326.31,950,BWI,2ciqOzND4aTUuEtKvqnX8201y,288.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,758,120,72
75,327.31,842,BWI,2ciqOzND4aTUuEtKvqnX8201U,289.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,655,120,67
76,327.31,1030,BWI,2ciqOzND4aTUuEtKvqnX8202F,289.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,838,120,72
77,329.31,1052,BWI,2ciqOzND4aTUuEtKvqnX8202H,291.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,860,120,72
78,337.31,1105,BWI,2ciqOzND4aTUuEtKvqnX8202T,299.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,913,120,72
79,341.31,1031,BWI,2ciqOzND4aTUuEtKvqnX8202K,303.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,844,120,67
80,343.31,680,BWI,2ciqOzND4aTUuEtKvqnX8200i,305.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,488,120,72
81,350.31,955,BWI,2ciqOzND4aTUuEtKvqnX8202B,312.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,763,120,72
82,351.30,1173,BWI,2ciqOzND4aTUuEtKvqnX8200R,313.59,35.60,2.11,2016-01-25T08:00,2016-01-25T11:10-05:00,985,120,68
83,351.30,1173,BWI,2ciqOzND4aTUuEtKvqnX8200Q,313.59,35.60,2.11,2016-01-25T08:00,2016-01-25T11:10-05:00,985,120,68
84,351.30,1246,BWI,2ciqOzND4aTUuEtKvqnX8200S,313.59,35.60,2.11,2016-01-25T08:00,2016-01-25T11:10-05:00,1058,120,68
85,351.31,995,BWI,2ciqOzND4aTUuEtKvqnX8202G,313.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,803,120,72
86,352.31,936,BWI,2ciqOzND4aTUuEtKvqnX82029,314.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,749,120,67
87,356.31,1160,BWI,2ciqOzND4aTUuEtKvqnX8202x,318.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,968,120,72
88,363.31,905,BWI,2ciqOzND4aTUuEtKvqnX8202z,325.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,713,120,72
89,364.31,985,BWI,2ciqOzND4aTUuEtKvqnX8203J,326.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,793,120,72
90,364.31,900,BWI,2ciqOzND4aTUuEtKvqnX82030,326.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,713,120,67
91,364.31,981,BWI,2ciqOzND4aTUuEtKvqnX8203K,326.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,794,120,67
92,364.31,1213,BWI,2ciqOzND4aTUuEtKvqnX8203x,326.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,1021,120,72
93,364.31,981,BWI,2ciqOzND4aTUuEtKvqnX8203L,326.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,794,120,67
94,368.31,1030,BWI,2ciqOzND4aTUuEtKvqnX8202S,330.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,838,120,72
95,368.31,974,BWI,2ciqOzND4aTUuEtKvqnX8202M,330.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,782,120,72
96,368.31,943,BWI,2ciqOzND4aTUuEtKvqnX8203C,330.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,756,120,67
97,368.31,862,BWI,2ciqOzND4aTUuEtKvqnX82022,330.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,670,120,72
98,369.31,969,BWI,2ciqOzND4aTUuEtKvqnX8203I,331.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,777,120,72
99,369.31,944,BWI,2ciqOzND4aTUuEtKvqnX8203B,331.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,752,120,72
100,369.31,969,BWI,2ciqOzND4aTUuEtKvqnX8203H,331.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,777,120,72
101,384.31,985,BWI,2ciqOzND4aTUuEtKvqnX8203U,346.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,793,120,72
102,384.31,1036,BWI,2ciqOzND4aTUuEtKvqnX8203e,346.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,844,120,72
103,388.31,1079,BWI,2ciqOzND4aTUuEtKvqnX8203s,350.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,887,120,72
104,394.31,1089,BWI,2ciqOzND4aTUuEtKvqnX8202w,356.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,897,120,72
105,395.31,970,BWI,2ciqOzND4aTUuEtKvqnX8202U,357.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,778,120,72
106,398.31,986,BWI,2ciqOzND4aTUuEtKvqnX8202f,360.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,799,120,67
107,398.31,1013,BWI,2ciqOzND4aTUuEtKvqnX8202j,360.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,821,120,72
108,398.31,986,BWI,2ciqOzND4aTUuEtKvqnX8202e,360.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,799,120,67
109,398.31,1013,BWI,2ciqOzND4aTUuEtKvqnX8202k,360.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,821,120,72
110,398.31,939,BWI,2ciqOzND4aTUuEtKvqnX8202Q,360.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,752,120,67
111,398.31,884,BWI,2ciqOzND4aTUuEtKvqnX8202I,360.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,697,120,67
112,398.31,1069,BWI,2ciqOzND4aTUuEtKvqnX8202s,360.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,877,120,72
113,398.31,1069,BWI,2ciqOzND4aTUuEtKvqnX8202r,360.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,877,120,72
114,398.37,1042,BWI,2ciqOzND4aTUuEtKvqnX8203l,360.66,35.60,2.11,2016-01-25T02:45,2016-01-25T06:00-05:00,850,120,72
115,398.37,1042,BWI,2ciqOzND4aTUuEtKvqnX8200O,360.66,35.60,2.11,2016-01-25T02:45,2016-01-25T06:00-05:00,850,120,72
116,398.37,1042,BWI,2ciqOzND4aTUuEtKvqnX8203m,360.66,35.60,2.11,2016-01-25T02:45,2016-01-25T06:00-05:00,850,120,72
117,398.37,1042,BWI,2ciqOzND4aTUuEtKvqnX8200P,360.66,35.60,2.11,2016-01-25T02:45,2016-01-25T06:00-05:00,850,120,72
118,399.31,846,BWI,2ciqOzND4aTUuEtKvqnX8202E,361.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,659,120,67
119,400.31,1017,BWI,2ciqOzND4aTUuEtKvqnX8202l,362.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,825,120,72
120,402.37,1249,BWI,2ciqOzND4aTUuEtKvqnX8204C,364.66,35.60,2.11,2016-01-25T02:45,2016-01-25T06:00-05:00,1057,120,72
121,405.31,985,BWI,2ciqOzND4aTUuEtKvqnX8203d,367.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,793,120,72
122,406.31,993,BWI,2ciqOzND4aTUuEtKvqnX8202i,368.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,801,120,72
123,407.31,1009,BWI,2ciqOzND4aTUuEtKvqnX8203j,369.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,822,120,67
124,407.31,1029,BWI,2ciqOzND4aTUuEtKvqnX8203p,369.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,842,120,67
125,407.31,971,BWI,2ciqOzND4aTUuEtKvqnX8203c,369.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,784,120,67
126,408.31,939,BWI,2ciqOzND4aTUuEtKvqnX8202V,370.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,752,120,67
127,413.31,1007,BWI,2ciqOzND4aTUuEtKvqnX8203o,375.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,820,120,67
128,415.31,856,BWI,2ciqOzND4aTUuEtKvqnX8202J,377.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,664,120,72
129,419.31,974,BWI,2ciqOzND4aTUuEtKvqnX8203h,381.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,787,120,67
130,421.31,885,BWI,2ciqOzND4aTUuEtKvqnX8203R,383.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,693,120,72
131,423.31,1053,BWI,2ciqOzND4aTUuEtKvqnX82031,385.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,861,120,72
132,423.31,1011,BWI,2ciqOzND4aTUuEtKvqnX8202v,385.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,819,120,72
133,424.31,830,BWI,2ciqOzND4aTUuEtKvqnX8203G,386.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,643,120,67
134,426.31,845,BWI,2ciqOzND4aTUuEtKvqnX8202N,388.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,653,120,72
135,426.31,937,BWI,2ciqOzND4aTUuEtKvqnX8202h,388.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,745,120,72
136,435.31,895,BWI,2ciqOzND4aTUuEtKvqnX8202Y,397.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,703,120,72
137,435.31,820,BWI,2ciqOzND4aTUuEtKvqnX8203M,397.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,628,120,72
138,435.31,1024,BWI,2ciqOzND4aTUuEtKvqnX8203t,397.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,832,120,72
139,435.31,1044,BWI,2ciqOzND4aTUuEtKvqnX8203z,397.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,857,120,67
140,435.31,895,BWI,2ciqOzND4aTUuEtKvqnX8202X,397.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,703,120,72
141,435.31,1024,BWI,2ciqOzND4aTUuEtKvqnX8203u,397.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,832,120,72
142,435.31,1044,BWI,2ciqOzND4aTUuEtKvqnX8203y,397.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,857,120,67
143,438.31,968,BWI,2ciqOzND4aTUuEtKvqnX8202q,400.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,776,120,72
144,442.32,1140,BWI,2ciqOzND4aTUuEtKvqnX8203V,404.61,35.60,2.11,2016-01-25T06:00,2016-01-25T09:20-05:00,948,120,72
145,450.81,930,BWI,2ciqOzND4aTUuEtKvqnX8202P,413.10,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,738,120,72
146,456.31,1116,BWI,2ciqOzND4aTUuEtKvqnX8203X,418.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,924,120,72
147,456.31,1116,BWI,2ciqOzND4aTUuEtKvqnX8203W,418.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,924,120,72
148,459.31,1031,BWI,2ciqOzND4aTUuEtKvqnX8203F,421.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,844,120,67
149,461.31,1125,BWI,2ciqOzND4aTUuEtKvqnX8203a,423.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,933,120,72
150,461.31,1193,BWI,2ciqOzND4aTUuEtKvqnX8203q,423.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,1001,120,72
151,461.31,1074,BWI,2ciqOzND4aTUuEtKvqnX8203O,423.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,882,120,72
152,461.31,1163,BWI,2ciqOzND4aTUuEtKvqnX8203f,423.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,971,120,72
153,461.31,1125,BWI,2ciqOzND4aTUuEtKvqnX8203b,423.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,933,120,72
154,461.31,1074,BWI,2ciqOzND4aTUuEtKvqnX8203P,423.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,882,120,72
155,471.31,1124,BWI,2ciqOzND4aTUuEtKvqnX8204L,433.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,937,120,67
156,471.31,1142,BWI,2ciqOzND4aTUuEtKvqnX8204P,433.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,950,120,72
157,471.31,1089,BWI,2ciqOzND4aTUuEtKvqnX8204F,433.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,897,120,72
158,471.31,941,BWI,2ciqOzND4aTUuEtKvqnX82044,433.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,749,120,72
159,471.31,986,BWI,2ciqOzND4aTUuEtKvqnX82048,433.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,799,120,67
160,471.31,966,BWI,2ciqOzND4aTUuEtKvqnX82047,433.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,779,120,67
161,471.31,922,BWI,2ciqOzND4aTUuEtKvqnX82042,433.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,735,120,67
162,471.31,1127,BWI,2ciqOzND4aTUuEtKvqnX8204K,433.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,935,120,72
163,475.31,1139,BWI,2ciqOzND4aTUuEtKvqnX8204V,437.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,952,120,67
164,480.31,915,BWI,2ciqOzND4aTUuEtKvqnX82033,442.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,728,120,67
165,480.31,874,BWI,2ciqOzND4aTUuEtKvqnX8202t,442.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,682,120,72
166,480.31,955,BWI,2ciqOzND4aTUuEtKvqnX82040,442.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,763,120,72
167,480.31,916,BWI,2ciqOzND4aTUuEtKvqnX8203v,442.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,724,120,72
168,480.31,980,BWI,2ciqOzND4aTUuEtKvqnX8203E,442.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,788,120,72
169,480.31,849,BWI,2ciqOzND4aTUuEtKvqnX8203n,442.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,657,120,72
170,480.31,941,BWI,2ciqOzND4aTUuEtKvqnX82037,442.60,35.60,2.11,2016-01-25T03:15,2016-01-25T06:40-05:00,749,120,72
171,492.32,1013,BWI,2ciqOzND4aTUuEtKvqnX8203S,454.61,35.60,2.11,2016-01-25T06:00,2016-01-25T09:20-05:00,821,120,72
172,492.32,1013,BWI,2ciqOzND4aTUuEtKvqnX8203T,454.61,35.60,2.11,2016-01-25T06:00,2016-01-25T09:20-05:00,821,120,72
173,501.31,980,BWI,2ciqOzND4aTUuEtKvqnX8203Y,463.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,788,120,72
174,501.31,1105,BWI,2ciqOzND4aTUuEtKvqnX8204O,463.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,913,120,72
