id,airport,departuretime,arrivaltime,duration,cost,tripid
1221,IAD,2016-01-25T12:35-05:00,2016-01-25T22:00-08:00,745,459.60,0FYkDuZ1Gh6TlvJMkNtn1906M
1227,IAD,2016-01-25T08:10-05:00,2016-01-25T16:05-08:00,655,471.60,0FYkDuZ1Gh6TlvJMkNtn1905q
1228,IAD,2016-01-25T08:10-05:00,2016-01-25T17:20-08:00,730,471.60,0FYkDuZ1Gh6TlvJMkNtn1906P
1186,IAD,2016-01-25T08:25-05:00,2016-01-25T16:05-08:00,640,428.60,0FYkDuZ1Gh6TlvJMkNtn19053
1187,IAD,2016-01-25T06:00-05:00,2016-01-25T16:05-08:00,785,428.60,0FYkDuZ1Gh6TlvJMkNtn19065
1188,IAD,2016-01-25T08:25-05:00,2016-01-25T17:20-08:00,715,428.60,0FYkDuZ1Gh6TlvJMkNtn1905S
1189,IAD,2016-01-25T06:00-05:00,2016-01-25T16:05-08:00,785,428.60,0FYkDuZ1Gh6TlvJMkNtn19067
1190,IAD,2016-01-25T08:13-05:00,2016-01-25T17:20-08:00,727,428.60,0FYkDuZ1Gh6TlvJMkNtn1905X
1191,IAD,2016-01-25T08:13-05:00,2016-01-25T17:20-08:00,727,428.60,0FYkDuZ1Gh6TlvJMkNtn1905W
1192,IAD,2016-01-25T08:15-05:00,2016-01-25T17:20-08:00,725,428.60,0FYkDuZ1Gh6TlvJMkNtn1905V
1193,IAD,2016-01-25T06:00-05:00,2016-01-25T16:05-08:00,785,428.60,0FYkDuZ1Gh6TlvJMkNtn19066
1194,IAD,2016-01-25T06:00-05:00,2016-01-25T16:05-08:00,785,428.60,0FYkDuZ1Gh6TlvJMkNtn19068
1195,IAD,2016-01-25T08:25-05:00,2016-01-25T17:20-08:00,715,428.60,0FYkDuZ1Gh6TlvJMkNtn1905R
1196,IAD,2016-01-25T08:39-05:00,2016-01-25T16:53-08:00,674,429.60,0FYkDuZ1Gh6TlvJMkNtn19076
1197,IAD,2016-01-25T12:30-05:00,2016-01-25T21:03-08:00,693,430.60,0FYkDuZ1Gh6TlvJMkNtn1907D
1198,IAD,2016-01-25T08:20-05:00,2016-01-25T17:12-08:00,712,431.60,0FYkDuZ1Gh6TlvJMkNtn1905T
1199,IAD,2016-01-25T08:20-05:00,2016-01-25T18:22-08:00,782,431.60,0FYkDuZ1Gh6TlvJMkNtn19069
1203,IAD,2016-01-25T12:30-05:00,2016-01-25T20:20-08:00,650,436.60,0FYkDuZ1Gh6TlvJMkNtn19073
1205,IAD,2016-01-25T06:05-05:00,2016-01-25T15:44-08:00,759,441.60,0FYkDuZ1Gh6TlvJMkNtn1906A
1209,IAD,2016-01-25T08:17-05:00,2016-01-25T14:44-08:00,567,452.60,0FYkDuZ1Gh6TlvJMkNtn1904w
1210,IAD,2016-01-25T10:15-05:00,2016-01-25T17:58-08:00,643,454.60,0FYkDuZ1Gh6TlvJMkNtn1904L
1211,IAD,2016-01-25T06:00-05:00,2016-01-25T12:16-08:00,556,454.60,0FYkDuZ1Gh6TlvJMkNtn1900w
1212,IAD,2016-01-25T08:25-05:00,2016-01-25T14:44-08:00,559,454.60,0FYkDuZ1Gh6TlvJMkNtn1903Y
1213,IAD,2016-01-25T10:15-05:00,2016-01-25T14:44-08:00,449,454.60,0FYkDuZ1Gh6TlvJMkNtn1902P
1216,IAD,2016-01-25T12:45-05:00,2016-01-25T22:00-08:00,735,455.60,0FYkDuZ1Gh6TlvJMkNtn1906F
1217,IAD,2016-01-25T08:20-05:00,2016-01-25T17:58-08:00,758,458.60,0FYkDuZ1Gh6TlvJMkNtn1906N
1222,IAD,2016-01-25T12:36-05:00,2016-01-25T21:50-08:00,734,460.10,0FYkDuZ1Gh6TlvJMkNtn1907s
1223,IAD,2016-01-25T12:52-05:00,2016-01-25T21:03-08:00,671,462.60,0FYkDuZ1Gh6TlvJMkNtn1907Y
1225,IAD,2016-01-25T06:20-05:00,2016-01-25T16:05-08:00,765,467.60,0FYkDuZ1Gh6TlvJMkNtn1906Y
1226,IAD,2016-01-25T08:10-05:00,2016-01-25T18:06-08:00,776,470.60,0FYkDuZ1Gh6TlvJMkNtn1906d
1229,IAD,2016-01-25T12:52-05:00,2016-01-25T22:13-08:00,741,478.60,0FYkDuZ1Gh6TlvJMkNtn1900Y
1230,IAD,2016-01-25T12:52-05:00,2016-01-25T22:13-08:00,741,478.60,0FYkDuZ1Gh6TlvJMkNtn1900Z
1231,IAD,2016-01-25T08:20-05:00,2016-01-25T16:53-08:00,693,480.60,0FYkDuZ1Gh6TlvJMkNtn1907t
1232,IAD,2016-01-25T08:20-05:00,2016-01-25T13:48-08:00,508,481.60,0FYkDuZ1Gh6TlvJMkNtn1905u
1233,IAD,2016-01-25T12:47-05:00,2016-01-25T23:33-08:00,826,483.60,0FYkDuZ1Gh6TlvJMkNtn19074
1234,IAD,2016-01-25T12:47-05:00,2016-01-25T20:55-08:00,668,483.60,0FYkDuZ1Gh6TlvJMkNtn1906G
1235,IAD,2016-01-25T08:16-05:00,2016-01-25T17:58-08:00,762,483.60,0FYkDuZ1Gh6TlvJMkNtn1906j
1257,IAD,2016-01-25T06:00-05:00,2016-01-25T15:41-08:00,761,544.60,0FYkDuZ1Gh6TlvJMkNtn1907W
1264,IAD,2016-01-25T08:10-05:00,2016-01-25T17:58-08:00,768,557.60,0FYkDuZ1Gh6TlvJMkNtn1907k
1265,IAD,2016-01-25T08:10-05:00,2016-01-25T16:42-08:00,692,557.60,0FYkDuZ1Gh6TlvJMkNtn1907H
1266,IAD,2016-01-25T08:10-05:00,2016-01-25T15:44-08:00,634,557.60,0FYkDuZ1Gh6TlvJMkNtn1906y
1267,IAD,2016-01-25T08:10-05:00,2016-01-25T17:38-08:00,748,557.60,0FYkDuZ1Gh6TlvJMkNtn1907d
1275,IAD,2016-01-25T08:10-05:00,2016-01-25T14:44-08:00,574,571.60,0FYkDuZ1Gh6TlvJMkNtn1906s
1283,IAD,2016-01-25T06:00-05:00,2016-01-25T14:44-08:00,704,576.60,0FYkDuZ1Gh6TlvJMkNtn1907e
1284,IAD,2016-01-25T06:00-05:00,2016-01-25T14:44-08:00,704,576.60,0FYkDuZ1Gh6TlvJMkNtn1907f
1239,IAD,2016-01-25T08:30-05:00,2016-01-25T16:53-08:00,683,486.60,0FYkDuZ1Gh6TlvJMkNtn1907w
1263,IAD,2016-01-25T12:37-05:00,2016-01-25T20:11-08:00,634,554.60,0FYkDuZ1Gh6TlvJMkNtn1906t
1276,IAD,2016-01-25T08:10-05:00,2016-01-25T16:05-08:00,655,574.60,0FYkDuZ1Gh6TlvJMkNtn1907L
1277,IAD,2016-01-25T12:30-05:00,2016-01-25T20:27-08:00,657,574.60,0FYkDuZ1Gh6TlvJMkNtn1907N
1278,IAD,2016-01-25T08:13-05:00,2016-01-25T16:05-08:00,652,574.60,0FYkDuZ1Gh6TlvJMkNtn1907J
1279,IAD,2016-01-25T06:20-05:00,2016-01-25T16:09-08:00,769,575.60,0FYkDuZ1Gh6TlvJMkNtn19084
1280,IAD,2016-01-25T06:20-05:00,2016-01-25T16:09-08:00,769,575.60,0FYkDuZ1Gh6TlvJMkNtn19083
1281,IAD,2016-01-25T08:39-05:00,2016-01-25T16:09-08:00,630,575.60,0FYkDuZ1Gh6TlvJMkNtn1907B
1282,IAD,2016-01-25T08:20-05:00,2016-01-25T16:09-08:00,649,575.60,0FYkDuZ1Gh6TlvJMkNtn1907I
1236,IAD,2016-01-25T17:23-05:00,2016-01-25T22:00-08:00,457,483.60,0FYkDuZ1Gh6TlvJMkNtn1900m
1237,IAD,2016-01-25T12:32-05:00,2016-01-25T21:03-08:00,691,483.60,0FYkDuZ1Gh6TlvJMkNtn1907x
1238,IAD,2016-01-25T12:32-05:00,2016-01-25T21:03-08:00,691,485.60,0FYkDuZ1Gh6TlvJMkNtn1907z
1240,IAD,2016-01-25T12:45-05:00,2016-01-25T22:00-08:00,735,487.60,0FYkDuZ1Gh6TlvJMkNtn1906c
1241,IAD,2016-01-25T12:45-05:00,2016-01-25T22:00-08:00,735,487.60,0FYkDuZ1Gh6TlvJMkNtn1906b
